time (sec),vo2 (mL/kg/min)
0.0,6.26
0.75,5.37
3.04,5.2
6.12,5.44
8.41,6.39
10.37,7.05
12.8,5.77
17.84,6.07
21.53,5.96
24.82,6.88
26.57,7.7
28.8,5.65
31.02,6.36
35.01,8.16
35.99,7.77
36.48,7.27
39.84,7.26
40.6,7.64
42.73,8.84
45.57,6.83
47.63,8.41
49.11,8.56
51.49,9.29
54.02,7.83
57.82,7.83
58.99,8.43
61.92,8.62
65.86,9.58
67.97,8.64
70.73,8.82
73.69,9.75
75.53,8.01
79.01,9.53
79.68,10.21
81.57,9.3
83.19,10.03
84.65,10.37
86.8,9.26
89.55,10.96
92.53,9.53
94.46,11.08
97.01,8.57
97.68,9.26
99.01,12.29
102.12,10.13
104.15,9.9
106.44,10.52
111.11,10.69
114.62,11.24
115.75,11.76
117.69,12.51
121.17,11.95
123.3,9.67
125.19,12.84
129.22,10.36
130.51,12.85
135.72,15.72
136.46,14.91
138.09,12.73
141.89,13.56
145.6,13.89
147.21,12.41
149.2,10.01
150.29,14.5
151.47,12.77
154.92,13.03
156.26,15.61
157.22,10.53
158.33,12.22
160.05,14.71
163.23,15.62
164.67,14.03
168.29,13.64
171.09,13.78
172.05,11.41
174.16,14.28
175.12,15.66
176.02,14.05
177.67,17.53
180.13,17.5
185.08,14.25
188.42,14.14
189.84,17.27
190.71,17.17
193.16,15.5
195.67,17.54
197.26,15.87
200.04,19.53
201.21,16.79
202.89,19.01
203.56,15.71
207.18,19.2
208.56,16.75
210.68,14.02
211.94,17.11
213.24,18.75
214.93,19.25
216.45,17.15
218.13,18.14
218.53,22.29
219.08,16.02
220.59,19.33
221.76,15.61
223.25,17.44
224.47,20.84
229.14,26.33
230.82,18.39
233.21,18.7
233.83,15.48
235.93,20.5
237.35,19.0
238.9,20.82
243.15,17.92
244.27,18.67
245.56,20.64
247.27,23.6
250.82,22.52
251.75,21.36
252.58,18.05
254.63,21.21
255.96,19.76
258.35,24.68
260.74,18.78
261.06,18.48
264.53,21.57
266.05,25.4
268.57,19.0
269.31,20.45
269.7,19.7
270.73,18.53
271.09,21.75
271.73,25.16
273.1,24.06
275.24,22.03
276.98,24.84
278.76,25.67
280.46,23.72
282.47,21.9
283.24,15.65
286.06,23.33
289.14,25.98
292.73,21.27
295.17,21.04
297.33,24.45
298.55,25.06
299.86,26.2
301.6,21.61
304.73,23.11
305.56,25.63
307.02,25.18
308.1,27.11
311.64,24.86
312.53,23.9
314.44,23.88
316.17,28.22
317.84,26.5
319.6,25.74
320.21,24.24
321.92,29.98
323.94,26.37
324.99,21.18
326.14,23.86
327.13,27.32
327.66,26.73
328.81,24.27
331.6,29.68
332.92,27.34
335.4,28.16
337.47,26.0
338.02,27.67
339.93,24.46
342.27,27.2
343.39,28.32
345.2,27.16
347.76,26.0
349.91,29.29
350.95,33.74
352.45,24.61
353.05,24.98
353.91,28.38
355.6,26.95
356.96,28.53
359.41,25.71
361.31,27.28
362.3,24.59
362.97,23.4
364.49,30.28
365.37,28.55
368.31,24.51
369.94,29.44
371.02,28.31
372.61,36.36
377.08,28.19
380.25,32.91
